"last_name, first_name",player_id,year,player_age,p_game,p_formatted_ip,hit,strikeout,batting_avg,p_era,p_pitchout,p_relief_no_out,p_starting_p,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Greinke, Zack",425844,2023,39,30,142.1,158,97,0.282,5.06,0,0,27,0.332,0.343,32.6,7.7,38.8,79.09991,94.18277,17.3,46.8
"Verlander, Justin",434378,2023,40,27,162.1,139,144,0.226,3.22,0,0,27,0.284,0.295,30.5,8.2,41.3,79.99041,94.26951,22.5,49.6
"Hill, Rich",448179,2023,43,32,146.1,165,129,0.281,5.41,0,0,27,0.359,0.36,37.3,10.1,39.9,78.85062,94.13527,19.3,45.4
"Morton, Charlie",450203,2023,39,30,163.1,150,183,0.244,3.64,0,0,30,0.318,0.33,36.8,7.8,39.1,77.30793,94.40007,32.2,42.9
"Scherzer, Max",453286,2023,38,27,152.2,126,174,0.221,3.77,0,0,27,0.298,0.281,32.2,8.5,36.9,77.75142,93.79083,28.6,51
"Lynn, Lance",458681,2023,36,32,183.2,189,191,0.259,5.73,0,0,32,0.347,0.337,35.2,10.4,39.3,77.06548,94.31394,28.7,50.1
"Kershaw, Clayton",477132,2023,35,24,131.2,100,137,0.209,2.46,0,0,24,0.28,0.3,34.7,9,39.1,77.97044,94.2099,28,49.6
"Gibson, Kyle",502043,2023,35,33,192,198,157,0.27,4.73,0,0,33,0.326,0.335,33.4,7.6,44.5,78.37767,94.78738,25.3,45.6
"Cobb, Alex",502171,2023,35,28,151.1,163,131,0.272,3.87,0,0,28,0.325,0.333,33.1,7,43.4,78.16247,94.95926,21.7,44.9
"Darvish, Yu",506433,2023,36,24,136.1,134,141,0.259,4.56,1,0,24,0.321,0.301,33,6.8,38.2,77.26003,93.94912,25,46.4
"Kelly, Merrill",518876,2023,34,30,177.2,143,187,0.222,3.29,0,0,30,0.294,0.313,35.1,7.8,41.8,78.6314,94.55946,27,49.1
"Pérez, Martín",527048,2023,32,35,141.2,150,93,0.274,4.45,0,0,20,0.335,0.338,33.1,7.6,37.2,78.33908,93.95053,17.2,45.3
"Anderson, Tyler",542881,2023,33,27,141,146,119,0.266,5.43,0,0,25,0.345,0.34,37.6,8.2,32.3,75.81805,93.08465,27.8,49.7
"Cole, Gerrit",543037,2023,32,33,209,157,222,0.206,2.63,0,0,33,0.256,0.289,33.7,7.6,39.2,78.70316,93.99608,26,50.1
"Eovaldi, Nathan",543135,2023,33,25,144,117,132,0.225,3.63,0,0,25,0.296,0.308,30.1,7.9,43.1,77.31491,94.41575,26.3,47.8
"Gray, Sonny",543243,2023,33,32,184,156,183,0.226,2.79,0,0,32,0.27,0.296,32.9,6.9,39.2,78.4352,94.12646,26,47.7
"Hendricks, Kyle",543294,2023,33,24,137,138,93,0.255,3.74,1,0,24,0.296,0.313,33.7,6.2,31.5,72.3316,93.0598,21.1,46.7
